Label,Year,County,Average Household Size
Total,2010,Atlantic County,2.65
owner,2010,Atlantic County,2.73
renter,2010,Atlantic County,2.44
Total,2010,Bergen County,2.69
owner,2010,Bergen County,2.86
renter,2010,Bergen County,2.37
Total,2010,Burlington County,2.66
owner,2010,Burlington County,2.8
renter,2010,Burlington County,2.16
Total,2010,Camden County,2.66
owner,2010,Camden County,2.85
renter,2010,Camden County,2.28
Total,2010,Cape May County,2.24
owner,2010,Cape May County,2.29
renter,2010,Cape May County,2.1
Total,2010,Cumberland County,2.84
owner,2010,Cumberland County,2.76
renter,2010,Cumberland County,2.98
Total,2010,Essex County,2.76
owner,2010,Essex County,3.05
renter,2010,Essex County,2.52
Total,2010,Gloucester County,2.72
owner,2010,Gloucester County,2.87
renter,2010,Gloucester County,2.13
Total,2010,Hudson County,2.64
owner,2010,Hudson County,2.77
renter,2010,Hudson County,2.57
Total,2010,Hunterdon County,2.59
owner,2010,Hunterdon County,2.66
renter,2010,Hunterdon County,2.18
Total,2010,Mercer County,2.65
owner,2010,Mercer County,2.75
renter,2010,Mercer County,2.45
Total,2010,Middlesex County,2.82
owner,2010,Middlesex County,2.93
renter,2010,Middlesex County,2.6
Total,2010,Monmouth County,2.66
owner,2010,Monmouth County,2.82
renter,2010,Monmouth County,2.18
Total,2010,Morris County,2.71
owner,2010,Morris County,2.82
renter,2010,Morris County,2.31
Total,2010,New Jersey!!Estimate,2.72
owner,2010,New Jersey!!Estimate,2.83
renter,2010,New Jersey!!Estimate,2.49
Total,2010,Ocean County,2.58
owner,2010,Ocean County,2.52
renter,2010,Ocean County,2.86
Total,2010,Passaic County,3.04
owner,2010,Passaic County,3.23
renter,2010,Passaic County,2.81
Total,2010,Salem County,2.63
owner,2010,Salem County,2.73
renter,2010,Salem County,2.4
Total,2010,Somerset County,2.76
owner,2010,Somerset County,2.85
renter,2010,Somerset County,2.39
Total,2010,Sussex County,2.69
owner,2010,Sussex County,2.73
renter,2010,Sussex County,2.47
Total,2010,Union County,2.89
owner,2010,Union County,3.02
renter,2010,Union County,2.68
Total,2010,Warren County,2.61
owner,2010,Warren County,2.72
renter,2010,Warren County,2.21
Total,2011,Atlantic County,2.67
owner,2011,Atlantic County,2.75
renter,2011,Atlantic County,2.5
Total,2011,Bergen County,2.73
owner,2011,Bergen County,2.92
renter,2011,Bergen County,2.39
Total,2011,Burlington County,2.65
owner,2011,Burlington County,2.73
renter,2011,Burlington County,2.4
Total,2011,Camden County,2.73
owner,2011,Camden County,2.92
renter,2011,Camden County,2.33
Total,2011,Cape May County,2.29
owner,2011,Cape May County,2.39
renter,2011,Cape May County,1.98
Total,2011,Cumberland County,2.9
owner,2011,Cumberland County,2.88
renter,2011,Cumberland County,2.96
Total,2011,Essex County,2.79
owner,2011,Essex County,3.05
renter,2011,Essex County,2.58
Total,2011,Gloucester County,2.74
owner,2011,Gloucester County,2.86
renter,2011,Gloucester County,2.29
Total,2011,Hudson County,2.6
owner,2011,Hudson County,2.76
renter,2011,Hudson County,2.52
Total,2011,Hunterdon County,2.64
owner,2011,Hunterdon County,2.7
renter,2011,Hunterdon County,2.27
Total,2011,Mercer County,2.66
owner,2011,Mercer County,2.77
renter,2011,Mercer County,2.46
Total,2011,Middlesex County,2.83
owner,2011,Middlesex County,2.93
renter,2011,Middlesex County,2.64
Total,2011,Monmouth County,2.7
owner,2011,Monmouth County,2.81
renter,2011,Monmouth County,2.34
Total,2011,Morris County,2.66
owner,2011,Morris County,2.81
renter,2011,Morris County,2.24
Total,2011,New Jersey!!Estimate,2.73
owner,2011,New Jersey!!Estimate,2.83
renter,2011,New Jersey!!Estimate,2.53
Total,2011,Ocean County,2.58
owner,2011,Ocean County,2.47
renter,2011,Ocean County,3.01
Total,2011,Passaic County,3.02
owner,2011,Passaic County,3.15
renter,2011,Passaic County,2.86
Total,2011,Salem County,2.61
owner,2011,Salem County,2.7
renter,2011,Salem County,2.39
Total,2011,Somerset County,2.81
owner,2011,Somerset County,2.86
renter,2011,Somerset County,2.62
Total,2011,Sussex County,2.67
owner,2011,Sussex County,2.77
renter,2011,Sussex County,2.2
Total,2011,Union County,2.89
owner,2011,Union County,3.01
renter,2011,Union County,2.7
Total,2011,Warren County,2.52
owner,2011,Warren County,2.61
renter,2011,Warren County,2.21
Total,2012,Atlantic County,2.69
owner,2012,Atlantic County,2.73
renter,2012,Atlantic County,2.6
Total,2012,Bergen County,2.69
owner,2012,Bergen County,2.87
renter,2012,Bergen County,2.37
Total,2012,Burlington County,2.67
owner,2012,Burlington County,2.79
renter,2012,Burlington County,2.29
Total,2012,Camden County,2.73
owner,2012,Camden County,2.85
renter,2012,Camden County,2.47
Total,2012,Cape May County,2.31
owner,2012,Cape May County,2.39
renter,2012,Cape May County,2.09
Total,2012,Cumberland County,2.89
owner,2012,Cumberland County,2.83
renter,2012,Cumberland County,3.0
Total,2012,Essex County,2.75
owner,2012,Essex County,3.06
renter,2012,Essex County,2.49
Total,2012,Gloucester County,2.72
owner,2012,Gloucester County,2.81
renter,2012,Gloucester County,2.29
Total,2012,Hudson County,2.59
owner,2012,Hudson County,2.74
renter,2012,Hudson County,2.52
Total,2012,Hunterdon County,2.62
owner,2012,Hunterdon County,2.74
renter,2012,Hunterdon County,2.06
Total,2012,Mercer County,2.64
owner,2012,Mercer County,2.78
renter,2012,Mercer County,2.38
Total,2012,Middlesex County,2.82
owner,2012,Middlesex County,2.87
renter,2012,Middlesex County,2.7
Total,2012,Monmouth County,2.63
owner,2012,Monmouth County,2.79
renter,2012,Monmouth County,2.14
Total,2012,Morris County,2.71
owner,2012,Morris County,2.83
renter,2012,Morris County,2.36
Total,2012,New Jersey!!Estimate,2.71
owner,2012,New Jersey!!Estimate,2.82
renter,2012,New Jersey!!Estimate,2.52
Total,2012,Ocean County,2.56
owner,2012,Ocean County,2.51
renter,2012,Ocean County,2.79
Total,2012,Passaic County,3.01
owner,2012,Passaic County,3.08
renter,2012,Passaic County,2.93
Total,2012,Salem County,2.58
owner,2012,Salem County,2.66
renter,2012,Salem County,2.41
Total,2012,Somerset County,2.77
owner,2012,Somerset County,2.84
renter,2012,Somerset County,2.51
Total,2012,Sussex County,2.68
owner,2012,Sussex County,2.74
renter,2012,Sussex County,2.33
Total,2012,Union County,2.9
owner,2012,Union County,3.01
renter,2012,Union County,2.74
Total,2012,Warren County,2.56
owner,2012,Warren County,2.74
renter,2012,Warren County,2.02
Total,2013,Atlantic County,2.65
owner,2013,Atlantic County,2.75
renter,2013,Atlantic County,2.46
Total,2013,Bergen County,2.7
owner,2013,Bergen County,2.86
renter,2013,Bergen County,2.41
Total,2013,Burlington County,2.71
owner,2013,Burlington County,2.79
renter,2013,Burlington County,2.41
Total,2013,Camden County,2.72
owner,2013,Camden County,2.9
renter,2013,Camden County,2.38
Total,2013,Cape May County,2.44
owner,2013,Cape May County,2.49
renter,2013,Cape May County,2.28
Total,2013,Cumberland County,2.89
owner,2013,Cumberland County,2.94
renter,2013,Cumberland County,2.81
Total,2013,Essex County,2.77
owner,2013,Essex County,3.06
renter,2013,Essex County,2.54
Total,2013,Gloucester County,2.75
owner,2013,Gloucester County,2.85
renter,2013,Gloucester County,2.39
Total,2013,Hudson County,2.64
owner,2013,Hudson County,2.67
renter,2013,Hudson County,2.62
Total,2013,Hunterdon County,2.63
owner,2013,Hunterdon County,2.74
renter,2013,Hunterdon County,2.0
Total,2013,Mercer County,2.67
owner,2013,Mercer County,2.76
renter,2013,Mercer County,2.51
Total,2013,Middlesex County,2.83
owner,2013,Middlesex County,2.98
renter,2013,Middlesex County,2.58
Total,2013,Monmouth County,2.68
owner,2013,Monmouth County,2.81
renter,2013,Monmouth County,2.32
Total,2013,Morris County,2.74
owner,2013,Morris County,2.9
renter,2013,Morris County,2.25
Total,2013,New Jersey!!Estimate,2.74
owner,2013,New Jersey!!Estimate,2.85
renter,2013,New Jersey!!Estimate,2.55
Total,2013,Ocean County,2.65
owner,2013,Ocean County,2.6
renter,2013,Ocean County,2.82
Total,2013,Passaic County,3.08
owner,2013,Passaic County,3.11
renter,2013,Passaic County,3.04
Total,2013,Salem County,2.62
owner,2013,Salem County,2.59
renter,2013,Salem County,2.7
Total,2013,Somerset County,2.89
owner,2013,Somerset County,2.99
renter,2013,Somerset County,2.54
Total,2013,Sussex County,2.63
owner,2013,Sussex County,2.72
renter,2013,Sussex County,2.18
Total,2013,Union County,2.89
owner,2013,Union County,3.06
renter,2013,Union County,2.68
Total,2013,Warren County,2.51
owner,2013,Warren County,2.55
renter,2013,Warren County,2.43
Total,2014,Atlantic County,2.64
owner,2014,Atlantic County,2.67
renter,2014,Atlantic County,2.59
Total,2014,Bergen County,2.73
owner,2014,Bergen County,2.91
renter,2014,Bergen County,2.42
Total,2014,Burlington County,2.64
owner,2014,Burlington County,2.74
renter,2014,Burlington County,2.36
Total,2014,Camden County,2.68
owner,2014,Camden County,2.8
renter,2014,Camden County,2.45
Total,2014,Cape May County,2.27
owner,2014,Cape May County,2.3
renter,2014,Cape May County,2.21
Total,2014,Cumberland County,2.86
owner,2014,Cumberland County,2.77
renter,2014,Cumberland County,3.0
Total,2014,Essex County,2.79
owner,2014,Essex County,3.13
renter,2014,Essex County,2.53
Total,2014,Gloucester County,2.75
owner,2014,Gloucester County,2.89
renter,2014,Gloucester County,2.26
Total,2014,Hudson County,2.61
owner,2014,Hudson County,2.74
renter,2014,Hudson County,2.56
Total,2014,Hunterdon County,2.54
owner,2014,Hunterdon County,2.59
renter,2014,Hunterdon County,2.3
Total,2014,Mercer County,2.69
owner,2014,Mercer County,2.81
renter,2014,Mercer County,2.48
Total,2014,Middlesex County,2.85
owner,2014,Middlesex County,2.98
renter,2014,Middlesex County,2.64
Total,2014,Monmouth County,2.7
owner,2014,Monmouth County,2.86
renter,2014,Monmouth County,2.27
Total,2014,Morris County,2.74
owner,2014,Morris County,2.91
renter,2014,Morris County,2.25
Total,2014,New Jersey!!Estimate,2.74
owner,2014,New Jersey!!Estimate,2.84
renter,2014,New Jersey!!Estimate,2.56
Total,2014,Ocean County,2.62
owner,2014,Ocean County,2.53
renter,2014,Ocean County,3.01
Total,2014,Passaic County,3.13
owner,2014,Passaic County,3.12
renter,2014,Passaic County,3.15
Total,2014,Salem County,2.65
owner,2014,Salem County,2.73
renter,2014,Salem County,2.48
Total,2014,Somerset County,2.79
owner,2014,Somerset County,2.89
renter,2014,Somerset County,2.52
Total,2014,Sussex County,2.64
owner,2014,Sussex County,2.68
renter,2014,Sussex County,2.43
Total,2014,Union County,2.93
owner,2014,Union County,3.08
renter,2014,Union County,2.72
Total,2014,Warren County,2.52
owner,2014,Warren County,2.67
renter,2014,Warren County,2.13
Total,2015,Atlantic County,2.64
owner,2015,Atlantic County,2.7
renter,2015,Atlantic County,2.5
Total,2015,Bergen County,2.76
owner,2015,Bergen County,2.93
renter,2015,Bergen County,2.44
Total,2015,Burlington County,2.68
owner,2015,Burlington County,2.78
renter,2015,Burlington County,2.4
Total,2015,Camden County,2.72
owner,2015,Camden County,2.87
renter,2015,Camden County,2.41
Total,2015,Cape May County,2.37
owner,2015,Cape May County,2.38
renter,2015,Cape May County,2.35
Total,2015,Cumberland County,2.82
owner,2015,Cumberland County,2.82
renter,2015,Cumberland County,2.83
Total,2015,Essex County,2.77
owner,2015,Essex County,3.13
renter,2015,Essex County,2.51
Total,2015,Gloucester County,2.76
owner,2015,Gloucester County,2.93
renter,2015,Gloucester County,2.18
Total,2015,Hudson County,2.61
owner,2015,Hudson County,2.74
renter,2015,Hudson County,2.56
Total,2015,Hunterdon County,2.58
owner,2015,Hunterdon County,2.67
renter,2015,Hunterdon County,2.15
Total,2015,Mercer County,2.77
owner,2015,Mercer County,2.84
renter,2015,Mercer County,2.65
Total,2015,Middlesex County,2.88
owner,2015,Middlesex County,2.99
renter,2015,Middlesex County,2.71
Total,2015,Monmouth County,2.65
owner,2015,Monmouth County,2.79
renter,2015,Monmouth County,2.29
Total,2015,Morris County,2.73
owner,2015,Morris County,2.92
renter,2015,Morris County,2.19
Total,2015,New Jersey!!Estimate,2.75
owner,2015,New Jersey!!Estimate,2.86
renter,2015,New Jersey!!Estimate,2.56
Total,2015,Ocean County,2.62
owner,2015,Ocean County,2.51
renter,2015,Ocean County,3.02
Total,2015,Passaic County,3.19
owner,2015,Passaic County,3.25
renter,2015,Passaic County,3.13
Total,2015,Salem County,2.75
owner,2015,Salem County,2.76
renter,2015,Salem County,2.71
Total,2015,Somerset County,2.81
owner,2015,Somerset County,2.97
renter,2015,Somerset County,2.33
Total,2015,Sussex County,2.66
owner,2015,Sussex County,2.76
renter,2015,Sussex County,2.21
Total,2015,Union County,2.92
owner,2015,Union County,3.03
renter,2015,Union County,2.77
Total,2015,Warren County,2.51
owner,2015,Warren County,2.63
renter,2015,Warren County,2.24
Total,2016,Atlantic County,2.74
owner,2016,Atlantic County,2.74
renter,2016,Atlantic County,2.73
Total,2016,Bergen County,2.75
owner,2016,Bergen County,2.93
renter,2016,Bergen County,2.44
Total,2016,Burlington County,2.64
owner,2016,Burlington County,2.72
renter,2016,Burlington County,2.38
Total,2016,Camden County,2.71
owner,2016,Camden County,2.84
renter,2016,Camden County,2.44
Total,2016,Cape May County,2.36
owner,2016,Cape May County,2.33
renter,2016,Cape May County,2.43
Total,2016,Cumberland County,2.76
owner,2016,Cumberland County,2.75
renter,2016,Cumberland County,2.78
Total,2016,Essex County,2.76
owner,2016,Essex County,3.11
renter,2016,Essex County,2.51
Total,2016,Gloucester County,2.73
owner,2016,Gloucester County,2.85
renter,2016,Gloucester County,2.3
Total,2016,Hudson County,2.64
owner,2016,Hudson County,2.78
renter,2016,Hudson County,2.58
Total,2016,Hunterdon County,2.55
owner,2016,Hunterdon County,2.63
renter,2016,Hunterdon County,2.14
Total,2016,Mercer County,2.76
owner,2016,Mercer County,2.84
renter,2016,Mercer County,2.62
Total,2016,Middlesex County,2.84
owner,2016,Middlesex County,2.93
renter,2016,Middlesex County,2.7
Total,2016,Monmouth County,2.69
owner,2016,Monmouth County,2.81
renter,2016,Monmouth County,2.37
Total,2016,Morris County,2.7
owner,2016,Morris County,2.78
renter,2016,Morris County,2.48
Total,2016,New Jersey!!Estimate,2.74
owner,2016,New Jersey!!Estimate,2.83
renter,2016,New Jersey!!Estimate,2.59
Total,2016,Ocean County,2.61
owner,2016,Ocean County,2.54
renter,2016,Ocean County,2.88
Total,2016,Passaic County,3.04
owner,2016,Passaic County,3.05
renter,2016,Passaic County,3.04
Total,2016,Salem County,2.56
owner,2016,Salem County,2.57
renter,2016,Salem County,2.54
Total,2016,Somerset County,2.83
owner,2016,Somerset County,2.95
renter,2016,Somerset County,2.5
Total,2016,Sussex County,2.7
owner,2016,Sussex County,2.76
renter,2016,Sussex County,2.46
Total,2016,Union County,2.91
owner,2016,Union County,3.0
renter,2016,Union County,2.79
Total,2016,Warren County,2.58
owner,2016,Warren County,2.71
renter,2016,Warren County,2.24
Total,2017,Atlantic County,2.7
owner,2017,Atlantic County,2.78
renter,2017,Atlantic County,2.56
Total,2017,Bergen County,2.77
owner,2017,Bergen County,2.96
renter,2017,Bergen County,2.44
Total,2017,Burlington County,2.66
owner,2017,Burlington County,2.72
renter,2017,Burlington County,2.48
Total,2017,Camden County,2.65
owner,2017,Camden County,2.79
renter,2017,Camden County,2.36
Total,2017,Cape May County,2.3
owner,2017,Cape May County,2.33
renter,2017,Cape May County,2.21
Total,2017,Cumberland County,2.77
owner,2017,Cumberland County,2.77
renter,2017,Cumberland County,2.75
Total,2017,Essex County,2.76
owner,2017,Essex County,3.12
renter,2017,Essex County,2.47
Total,2017,Gloucester County,2.74
owner,2017,Gloucester County,2.87
renter,2017,Gloucester County,2.17
Total,2017,Hudson County,2.71
owner,2017,Hudson County,2.89
renter,2017,Hudson County,2.63
Total,2017,Hunterdon County,2.63
owner,2017,Hunterdon County,2.73
renter,2017,Hunterdon County,2.18
Total,2017,Mercer County,2.79
owner,2017,Mercer County,2.81
renter,2017,Mercer County,2.75
Total,2017,Middlesex County,2.84
owner,2017,Middlesex County,2.89
renter,2017,Middlesex County,2.76
Total,2017,Monmouth County,2.63
owner,2017,Monmouth County,2.76
renter,2017,Monmouth County,2.26
Total,2017,Morris County,2.71
owner,2017,Morris County,2.88
renter,2017,Morris County,2.24
Total,2017,New Jersey!!Estimate,2.74
owner,2017,New Jersey!!Estimate,2.84
renter,2017,New Jersey!!Estimate,2.57
Total,2017,Ocean County,2.62
owner,2017,Ocean County,2.5
renter,2017,Ocean County,3.1
Total,2017,Passaic County,2.99
owner,2017,Passaic County,3.0
renter,2017,Passaic County,2.98
Total,2017,Salem County,2.47
owner,2017,Salem County,2.64
renter,2017,Salem County,2.14
Total,2017,Somerset County,2.88
owner,2017,Somerset County,2.96
renter,2017,Somerset County,2.63
Total,2017,Sussex County,2.62
owner,2017,Sussex County,2.72
renter,2017,Sussex County,2.14
Total,2017,Union County,2.93
owner,2017,Union County,3.05
renter,2017,Union County,2.75
Total,2017,Warren County,2.53
owner,2017,Warren County,2.73
renter,2017,Warren County,2.0
Total,2018,Atlantic County,2.67
owner,2018,Atlantic County,2.75
renter,2018,Atlantic County,2.5
Total,2018,Bergen County,2.72
owner,2018,Bergen County,2.95
renter,2018,Bergen County,2.31
Total,2018,Burlington County,2.6
owner,2018,Burlington County,2.69
renter,2018,Burlington County,2.34
Total,2018,Camden County,2.65
owner,2018,Camden County,2.78
renter,2018,Camden County,2.39
Total,2018,Cape May County,2.3
owner,2018,Cape May County,2.34
renter,2018,Cape May County,2.13
Total,2018,Cumberland County,2.76
owner,2018,Cumberland County,2.73
renter,2018,Cumberland County,2.83
Total,2018,Essex County,2.68
owner,2018,Essex County,2.99
renter,2018,Essex County,2.43
Total,2018,Gloucester County,2.83
owner,2018,Gloucester County,2.93
renter,2018,Gloucester County,2.43
Total,2018,Hudson County,2.53
owner,2018,Hudson County,2.73
renter,2018,Hudson County,2.43
Total,2018,Hunterdon County,2.53
owner,2018,Hunterdon County,2.63
renter,2018,Hunterdon County,2.02
Total,2018,Mercer County,2.66
owner,2018,Mercer County,2.73
renter,2018,Mercer County,2.54
Total,2018,Middlesex County,2.8
owner,2018,Middlesex County,2.9
renter,2018,Middlesex County,2.63
Total,2018,Monmouth County,2.6
owner,2018,Monmouth County,2.77
renter,2018,Monmouth County,2.12
Total,2018,Morris County,2.67
owner,2018,Morris County,2.85
renter,2018,Morris County,2.17
Total,2018,New Jersey!!Estimate,2.69
owner,2018,New Jersey!!Estimate,2.81
renter,2018,New Jersey!!Estimate,2.46
Total,2018,Ocean County,2.6
owner,2018,Ocean County,2.56
renter,2018,Ocean County,2.78
Total,2018,Passaic County,2.92
owner,2018,Passaic County,3.03
renter,2018,Passaic County,2.81
Total,2018,Salem County,2.55
owner,2018,Salem County,2.61
renter,2018,Salem County,2.41
Total,2018,Somerset County,2.75
owner,2018,Somerset County,2.82
renter,2018,Somerset County,2.53
Total,2018,Sussex County,2.58
owner,2018,Sussex County,2.64
renter,2018,Sussex County,2.3
Total,2018,Union County,2.87
owner,2018,Union County,3.04
renter,2018,Union County,2.65
Total,2018,Warren County,2.49
owner,2018,Warren County,2.6
renter,2018,Warren County,2.18
Total,2019,Atlantic County,2.53
owner,2019,Atlantic County,2.61
renter,2019,Atlantic County,2.36
Total,2019,Bergen County,2.68
owner,2019,Bergen County,2.86
renter,2019,Bergen County,2.36
Total,2019,Burlington County,2.55
owner,2019,Burlington County,2.67
renter,2019,Burlington County,2.22
Total,2019,Camden County,2.66
owner,2019,Camden County,2.84
renter,2019,Camden County,2.28
Total,2019,Cape May County,2.19
owner,2019,Cape May County,2.23
renter,2019,Cape May County,2.08
Total,2019,Cumberland County,2.68
owner,2019,Cumberland County,2.69
renter,2019,Cumberland County,2.67
Total,2019,Essex County,2.62
owner,2019,Essex County,2.95
renter,2019,Essex County,2.36
Total,2019,Gloucester County,2.69
owner,2019,Gloucester County,2.83
renter,2019,Gloucester County,2.21
Total,2019,Hudson County,2.49
owner,2019,Hudson County,2.67
renter,2019,Hudson County,2.41
Total,2019,Hunterdon County,2.5
owner,2019,Hunterdon County,2.58
renter,2019,Hunterdon County,2.17
Total,2019,Mercer County,2.66
owner,2019,Mercer County,2.77
renter,2019,Mercer County,2.49
Total,2019,Middlesex County,2.8
owner,2019,Middlesex County,2.86
renter,2019,Middlesex County,2.7
Total,2019,Monmouth County,2.55
owner,2019,Monmouth County,2.74
renter,2019,Monmouth County,2.04
Total,2019,Morris County,2.61
owner,2019,Morris County,2.76
renter,2019,Morris County,2.25
Total,2019,New Jersey!!Estimate,2.65
owner,2019,New Jersey!!Estimate,2.77
renter,2019,New Jersey!!Estimate,2.43
Total,2019,Ocean County,2.65
owner,2019,Ocean County,2.63
renter,2019,Ocean County,2.73
Total,2019,Passaic County,2.93
owner,2019,Passaic County,2.95
renter,2019,Passaic County,2.92
Total,2019,Salem County,2.5
owner,2019,Salem County,2.6
renter,2019,Salem County,2.22
Total,2019,Somerset County,2.65
owner,2019,Somerset County,2.75
renter,2019,Somerset County,2.34
Total,2019,Sussex County,2.56
owner,2019,Sussex County,2.6
renter,2019,Sussex County,2.29
Total,2019,Union County,2.84
owner,2019,Union County,3.0
renter,2019,Union County,2.63
Total,2019,Warren County,2.44
owner,2019,Warren County,2.56
renter,2019,Warren County,2.14
Total,2021,Atlantic County,2.4
owner,2021,Atlantic County,2.51
renter,2021,Atlantic County,2.17
Total,2021,Bergen County,2.68
owner,2021,Bergen County,2.88
renter,2021,Bergen County,2.28
Total,2021,Burlington County,2.58
owner,2021,Burlington County,2.69
renter,2021,Burlington County,2.2
Total,2021,Camden County,2.57
owner,2021,Camden County,2.72
renter,2021,Camden County,2.28
Total,2021,Cape May County,1.92
owner,2021,Cape May County,1.98
renter,2021,Cape May County,1.71
Total,2021,Cumberland County,2.59
owner,2021,Cumberland County,2.68
renter,2021,Cumberland County,2.42
Total,2021,Essex County,2.58
owner,2021,Essex County,2.94
renter,2021,Essex County,2.29
Total,2021,Gloucester County,2.65
owner,2021,Gloucester County,2.77
renter,2021,Gloucester County,2.16
Total,2021,Hudson County,2.38
owner,2021,Hudson County,2.53
renter,2021,Hudson County,2.31
Total,2021,Hunterdon County,2.44
owner,2021,Hunterdon County,2.53
renter,2021,Hunterdon County,1.83
Total,2021,Mercer County,2.55
owner,2021,Mercer County,2.71
renter,2021,Mercer County,2.29
Total,2021,Middlesex County,2.72
owner,2021,Middlesex County,2.82
renter,2021,Middlesex County,2.53
Total,2021,Monmouth County,2.55
owner,2021,Monmouth County,2.71
renter,2021,Monmouth County,2.04
Total,2021,Morris County,2.6
owner,2021,Morris County,2.75
renter,2021,Morris County,2.15
Total,2021,New Jersey!!Estimate,2.6
owner,2021,New Jersey!!Estimate,2.73
renter,2021,New Jersey!!Estimate,2.36
Total,2021,Ocean County,2.67
owner,2021,Ocean County,2.6
renter,2021,Ocean County,2.96
Total,2021,Passaic County,2.88
owner,2021,Passaic County,2.93
renter,2021,Passaic County,2.82
Total,2021,Salem County,2.54
owner,2021,Salem County,2.57
renter,2021,Salem County,2.45
Total,2021,Somerset County,2.61
owner,2021,Somerset County,2.72
renter,2021,Somerset County,2.25
Total,2021,Sussex County,2.44
owner,2021,Sussex County,2.48
renter,2021,Sussex County,2.21
Total,2021,Union County,2.8
owner,2021,Union County,2.98
renter,2021,Union County,2.57
Total,2021,Warren County,2.35
owner,2021,Warren County,2.43
renter,2021,Warren County,2.13
Total,2022,Atlantic County,2.52
owner,2022,Atlantic County,2.63
renter,2022,Atlantic County,2.27
Total,2022,Bergen County,2.65
owner,2022,Bergen County,2.83
renter,2022,Bergen County,2.31
Total,2022,Burlington County,2.58
owner,2022,Burlington County,2.72
renter,2022,Burlington County,2.12
Total,2022,Camden County,2.54
owner,2022,Camden County,2.7
renter,2022,Camden County,2.24
Total,2022,Cape May County,1.94
owner,2022,Cape May County,2.06
renter,2022,Cape May County,1.57
Total,2022,Cumberland County,2.62
owner,2022,Cumberland County,2.69
renter,2022,Cumberland County,2.48
Total,2022,Essex County,2.58
owner,2022,Essex County,2.84
renter,2022,Essex County,2.36
Total,2022,Gloucester County,2.68
owner,2022,Gloucester County,2.78
renter,2022,Gloucester County,2.27
Total,2022,Hudson County,2.28
owner,2022,Hudson County,2.44
renter,2022,Hudson County,2.21
Total,2022,Hunterdon County,2.52
owner,2022,Hunterdon County,2.61
renter,2022,Hunterdon County,1.94
Total,2022,Mercer County,2.51
owner,2022,Mercer County,2.64
renter,2022,Mercer County,2.27
Total,2022,Middlesex County,2.73
owner,2022,Middlesex County,2.86
renter,2022,Middlesex County,2.47
Total,2022,Monmouth County,2.51
owner,2022,Monmouth County,2.65
renter,2022,Monmouth County,2.06
Total,2022,Morris County,2.59
owner,2022,Morris County,2.82
renter,2022,Morris County,1.91
Total,2022,New Jersey!!Estimate,2.59
owner,2022,New Jersey!!Estimate,2.73
renter,2022,New Jersey!!Estimate,2.33
Total,2022,Ocean County,2.68
owner,2022,Ocean County,2.6
renter,2022,Ocean County,2.99
Total,2022,Passaic County,2.81
owner,2022,Passaic County,2.9
renter,2022,Passaic County,2.72
Total,2022,Salem County,2.53
owner,2022,Salem County,2.64
renter,2022,Salem County,2.21
Total,2022,Somerset County,2.63
owner,2022,Somerset County,2.72
renter,2022,Somerset County,2.34
Total,2022,Sussex County,2.45
owner,2022,Sussex County,2.53
renter,2022,Sussex County,2.0
Total,2022,Union County,2.79
owner,2022,Union County,3.0
renter,2022,Union County,2.51
Total,2022,Warren County,2.39
owner,2022,Warren County,2.57
renter,2022,Warren County,1.86
Total,2023,Atlantic County,2.42
owner,2023,Atlantic County,2.39
renter,2023,Atlantic County,2.47
Total,2023,Bergen County,2.66
owner,2023,Bergen County,2.86
renter,2023,Bergen County,2.29
Total,2023,Burlington County,2.55
owner,2023,Burlington County,2.7
renter,2023,Burlington County,2.07
Total,2023,Camden County,2.58
owner,2023,Camden County,2.82
renter,2023,Camden County,2.11
Total,2023,Cape May County,1.96
owner,2023,Cape May County,1.96
renter,2023,Cape May County,1.94
Total,2023,Cumberland County,2.68
owner,2023,Cumberland County,2.72
renter,2023,Cumberland County,2.62
Total,2023,Essex County,2.58
owner,2023,Essex County,2.9
renter,2023,Essex County,2.31
Total,2023,Gloucester County,2.66
owner,2023,Gloucester County,2.77
renter,2023,Gloucester County,2.22
Total,2023,Hudson County,2.28
owner,2023,Hudson County,2.53
renter,2023,Hudson County,2.18
Total,2023,Hunterdon County,2.5
owner,2023,Hunterdon County,2.57
renter,2023,Hunterdon County,2.1
Total,2023,Mercer County,2.49
owner,2023,Mercer County,2.7
renter,2023,Mercer County,2.18
Total,2023,Middlesex County,2.69
owner,2023,Middlesex County,2.8
renter,2023,Middlesex County,2.51
Total,2023,Monmouth County,2.51
owner,2023,Monmouth County,2.66
renter,2023,Monmouth County,2.09
Total,2023,Morris County,2.62
owner,2023,Morris County,2.8
renter,2023,Morris County,2.08
Total,2023,New Jersey!!Estimate,2.58
owner,2023,New Jersey!!Estimate,2.72
renter,2023,New Jersey!!Estimate,2.32
Total,2023,Ocean County,2.65
owner,2023,Ocean County,2.59
renter,2023,Ocean County,2.93
Total,2023,Passaic County,2.83
owner,2023,Passaic County,2.9
renter,2023,Passaic County,2.74
Total,2023,Salem County,2.53
owner,2023,Salem County,2.64
renter,2023,Salem County,2.26
Total,2023,Somerset County,2.61
owner,2023,Somerset County,2.72
renter,2023,Somerset County,2.29
Total,2023,Sussex County,2.47
owner,2023,Sussex County,2.56
renter,2023,Sussex County,1.98
Total,2023,Union County,2.76
owner,2023,Union County,2.93
renter,2023,Union County,2.51
Total,2023,Warren County,2.41
owner,2023,Warren County,2.53
renter,2023,Warren County,2.05
