Label (Grouping),New Jersey,Atlantic County,Bergen County,Burlington County,Camden County,Cape May County,Cumberland County,Essex County,Gloucester County,Hudson County,Hunterdon County,Mercer County,Middlesex County,Monmouth County,Morris County,Ocean County,Passaic County,Salem County,Somerset County,Sussex County,Union County,Warren County,Year,New Jersey,Atlantic County,Bergen County,Burlington County,Camden County,Cape May County,Cumberland County,Essex County,Gloucester County,Hudson County,Hunterdon County,Mercer County,Middlesex County,Monmouth County,Morris County,Ocean County,Passaic County,Salem County,Somerset County,Sussex County,Union County,Warren County
Total:,"3,497,945","112,299","352,030","175,859","201,158","48,860","53,883","322,453","112,502","292,000","51,292","143,970","307,831","250,738","192,847","240,736","177,063","24,973","130,939","58,767","201,392","46,353",2021,"3,497,945","112,299","352,030","175,859","201,158","48,860","53,883","322,453","112,502","292,000","51,292","143,970","307,831","250,738","192,847","240,736","177,063","24,973","130,939","58,767","201,392","46,353"
    Utility gas,"2,545,038","79,294","268,191","120,266","150,913","32,963","35,249","235,497","85,188","188,934","24,015","103,454","240,266","202,232","132,915","186,997","144,405","11,877","103,938","11,030","164,646","22,768",2021,"2,545,038","79,294","268,191","120,266","150,913","32,963","35,249","235,497","85,188","188,934","24,015","103,454","240,266","202,232","132,915","186,997","144,405","11,877","103,938","11,030","164,646","22,768"
"    Bottled, tank, or LP gas","87,258","3,276","8,966","3,084","3,109","2,148","2,701","7,947","2,453","8,164","4,800","1,834","6,433","3,887","5,696","3,963","4,179","1,546","1,430","6,029","3,211","2,402",2021,"87,258","3,276","8,966","3,084","3,109","2,148","2,701","7,947","2,453","8,164","4,800","1,834","6,433","3,887","5,696","3,963","4,179","1,546","1,430","6,029","3,211","2,402"
    Electricity,"555,363","18,692","54,987","35,919","35,846","10,324","5,452","54,112","13,347","74,890","5,329","29,149","48,066","31,517","23,257","36,955","18,803","3,956","16,624","10,574","22,660","4,904",2021,"555,363","18,692","54,987","35,919","35,846","10,324","5,452","54,112","13,347","74,890","5,329","29,149","48,066","31,517","23,257","36,955","18,803","3,956","16,624","10,574","22,660","4,904"
"    Fuel oil, kerosene, etc.","240,765","7,407","14,681","13,076","8,305","1,421","9,309","14,757","10,517","10,689","15,136","7,342","9,810","8,242","28,828","10,673","7,833","6,646","6,426","27,713","7,650","14,304",2021,"240,765","7,407","14,681","13,076","8,305","1,421","9,309","14,757","10,517","10,689","15,136","7,342","9,810","8,242","28,828","10,673","7,833","6,646","6,426","27,713","7,650","14,304"
    Coal or coke,"1,624",0,0,44,383,0,42,114,0,0,61,0,73,83,0,0,545,32,0,134,113,0,2021,"1,624",0,0,44,383,0,42,114,0,0,61,0,73,83,0,0,545,32,0,134,113,0
    Wood,"9,820",825,138,778,151,0,448,0,298,114,"1,313",92,53,240,369,639,64,456,146,"2,185",0,"1,511",2021,"9,820",825,138,778,151,0,448,0,298,114,"1,313",92,53,240,369,639,64,456,146,"2,185",0,"1,511"
    Solar energy,"7,643",947,146,"1,042",410,14,199,309,236,675,29,195,584,694,267,332,127,135,"1,037",92,173,0,2021,"7,643",947,146,"1,042",410,14,199,309,236,675,29,195,584,694,267,332,127,135,"1,037",92,173,0
    Other fuel,"19,506",659,"3,209",355,950,"1,054",416,"2,602",246,"2,338",523,919,946,"1,763",428,245,344,169,396,874,797,273,2021,"19,506",659,"3,209",355,950,"1,054",416,"2,602",246,"2,338",523,919,946,"1,763",428,245,344,169,396,874,797,273
    No fuel used,"30,928","1,199","1,712","1,295","1,091",936,67,"7,115",217,"6,196",86,985,"1,600","2,080","1,087",932,763,156,942,136,"2,142",191,2021,"30,928","1,199","1,712","1,295","1,091",936,67,"7,115",217,"6,196",86,985,"1,600","2,080","1,087",932,763,156,942,136,"2,142",191
Total:,"3,538,457","111,158","356,438","179,477","201,670","47,516","54,482","322,456","113,391","305,743","51,186","146,258","311,100","252,995","193,192","245,827","178,277","25,207","132,047","58,679","206,095","45,263",2023,"3,538,457","111,158","356,438","179,477","201,670","47,516","54,482","322,456","113,391","305,743","51,186","146,258","311,100","252,995","193,192","245,827","178,277","25,207","132,047","58,679","206,095","45,263"
    Utility gas,"2,552,593","76,852","274,633","125,350","149,523","31,904","34,031","222,150","87,104","187,937","24,538","99,717","243,007","206,179","135,675","190,569","142,347","12,462","101,137","13,751","169,495","24,232",2023,"2,552,593","76,852","274,633","125,350","149,523","31,904","34,031","222,150","87,104","187,937","24,538","99,717","243,007","206,179","135,675","190,569","142,347","12,462","101,137","13,751","169,495","24,232"
"    Bottled, tank, or LP gas","95,605","2,944","9,995","4,167","2,915","1,460","1,837","11,096","2,726","9,931","4,738","2,372","5,510","3,621","6,518","3,672","5,145","1,081","2,722","6,595","4,423","2,137",2023,"95,605","2,944","9,995","4,167","2,915","1,460","1,837","11,096","2,726","9,931","4,738","2,372","5,510","3,621","6,518","3,672","5,145","1,081","2,722","6,595","4,423","2,137"
    Electricity,"606,537","20,663","55,350","36,479","36,815","11,703","6,866","70,180","13,076","90,284","5,813","32,757","49,390","32,741","22,623","38,305","20,851","3,873","21,082","9,448","22,249","5,989",2023,"606,537","20,663","55,350","36,479","36,815","11,703","6,866","70,180","13,076","90,284","5,813","32,757","49,390","32,741","22,623","38,305","20,851","3,873","21,082","9,448","22,249","5,989"
"    Fuel oil, kerosene, etc.","215,314","5,819","12,297","10,572","9,059","1,814","9,089","11,065","8,662","8,549","14,564","9,660","8,242","7,840","25,632","8,891","7,459","6,555","5,796","25,893","6,573","11,283",2023,"215,314","5,819","12,297","10,572","9,059","1,814","9,089","11,065","8,662","8,549","14,564","9,660","8,242","7,840","25,632","8,891","7,459","6,555","5,796","25,893","6,573","11,283"
    Coal or coke,"1,219",0,60,0,0,0,0,172,0,0,0,0,248,0,0,183,130,89,14,109,176,38,2023,"1,219",0,60,0,0,0,0,172,0,0,0,0,248,0,0,183,130,89,14,109,176,38
    Wood,"10,749","1,708",88,548,53,103,866,75,771,56,945,41,138,502,543,579,301,831,108,"1,835",0,658,2023,"10,749","1,708",88,548,53,103,866,75,771,56,945,41,138,502,543,579,301,831,108,"1,835",0,658
    Solar energy,"9,388",875,788,760,723,194,194,113,654,488,31,162,996,567,64,979,308,205,291,0,909,87,2023,"9,388",875,788,760,723,194,194,113,654,488,31,162,996,567,64,979,308,205,291,0,909,87
    Other fuel,"20,755","1,151","2,034","1,146","1,165",195,"1,133","2,959",237,"2,215",339,568,"1,067",937,"1,200","1,361",486,97,458,845,470,692,2023,"20,755","1,151","2,034","1,146","1,165",195,"1,133","2,959",237,"2,215",339,568,"1,067",937,"1,200","1,361",486,97,458,845,470,692
    No fuel used,"26,297","1,146","1,193",455,"1,417",143,466,"4,646",161,"6,283",218,981,"2,502",608,937,"1,288","1,250",14,439,203,"1,800",147,2023,"26,297","1,146","1,193",455,"1,417",143,466,"4,646",161,"6,283",218,981,"2,502",608,937,"1,288","1,250",14,439,203,"1,800",147
Total:,"3,516,978","106,972","354,937","176,334","203,530","48,563","54,961","321,371","111,781","304,526","50,515","144,989","306,950","253,767","194,141","241,983","179,292","25,221","130,178","58,885","202,575","45,507",2022,"3,516,978","106,972","354,937","176,334","203,530","48,563","54,961","321,371","111,781","304,526","50,515","144,989","306,950","253,767","194,141","241,983","179,292","25,221","130,178","58,885","202,575","45,507"
    Utility gas,"2,560,329","75,362","261,610","122,302","154,125","33,039","33,603","237,659","87,170","195,994","24,801","104,562","240,201","204,600","137,887","189,199","144,443","10,082","104,713","12,705","164,511","21,761",2022,"2,560,329","75,362","261,610","122,302","154,125","33,039","33,603","237,659","87,170","195,994","24,801","104,562","240,201","204,600","137,887","189,199","144,443","10,082","104,713","12,705","164,511","21,761"
"    Bottled, tank, or LP gas","89,511","3,489","11,344","4,043","2,643","2,362","1,683","8,629","1,398","8,115","3,647","2,154","4,657","4,728","5,429","3,872","3,940","1,287","2,360","6,811","4,565","2,355",2022,"89,511","3,489","11,344","4,043","2,643","2,362","1,683","8,629","1,398","8,115","3,647","2,154","4,657","4,728","5,429","3,872","3,940","1,287","2,360","6,811","4,565","2,355"
    Electricity,"568,299","19,601","59,742","32,849","34,324","10,183","6,787","54,487","13,038","85,053","4,399","27,341","49,158","33,571","22,039","36,948","20,413","4,264","17,199","7,543","22,988","6,372",2022,"568,299","19,601","59,742","32,849","34,324","10,183","6,787","54,487","13,038","85,053","4,399","27,341","49,158","33,571","22,039","36,948","20,413","4,264","17,199","7,543","22,988","6,372"
"    Fuel oil, kerosene, etc.","231,690","5,836","15,345","13,322","8,515","1,406","11,452","13,009","8,578","6,650","15,287","8,843","9,435","7,946","25,664","8,322","7,739","8,811","4,888","29,520","8,020","13,102",2022,"231,690","5,836","15,345","13,322","8,515","1,406","11,452","13,009","8,578","6,650","15,287","8,843","9,435","7,946","25,664","8,322","7,739","8,811","4,888","29,520","8,020","13,102"
    Coal or coke,927,0,0,0,0,0,0,0,0,0,77,94,0,0,53,50,225,0,29,148,175,76,2022,927,0,0,0,0,0,0,0,0,0,77,94,0,0,53,50,225,0,29,148,175,76
    Wood,"10,054",431,232,789,159,231,479,0,537,0,"1,391",88,196,344,607,"1,030",515,109,94,"1,448",192,"1,182",2022,"10,054",431,232,789,159,231,479,0,537,0,"1,391",88,196,344,607,"1,030",515,109,94,"1,448",192,"1,182"
    Solar energy,"7,925",930,396,900,689,225,40,705,262,232,246,136,293,557,464,824,331,219,104,220,152,0,2022,"7,925",930,396,900,689,225,40,705,262,232,246,136,293,557,464,824,331,219,104,220,152,0
    Other fuel,"17,145",836,"2,614","1,122",661,509,277,"2,535",238,"2,256",566,200,492,771,838,988,242,379,296,346,514,465,2022,"17,145",836,"2,614","1,122",661,509,277,"2,535",238,"2,256",566,200,492,771,838,988,242,379,296,346,514,465
    No fuel used,"31,098",487,"3,654","1,007","2,414",608,640,"4,347",560,"6,226",101,"1,571","2,518","1,250","1,160",750,"1,444",70,495,144,"1,458",194,2022,"31,098",487,"3,654","1,007","2,414",608,640,"4,347",560,"6,226",101,"1,571","2,518","1,250","1,160",750,"1,444",70,495,144,"1,458",194
Total:,"3,286,264","101,975","343,733","170,074","187,780","40,939","51,360","295,976","106,705","266,664","47,901","130,851","285,906","240,377","184,885","226,725","168,059","24,404","122,606","54,099","192,848","42,397",2019,"3,286,264","101,975","343,733","170,074","187,780","40,939","51,360","295,976","106,705","266,664","47,901","130,851","285,906","240,377","184,885","226,725","168,059","24,404","122,606","54,099","192,848","42,397"
    Utility gas,"2,474,295","75,998","275,817","116,593","143,840","25,462","31,828","230,306","83,690","188,099","21,120","97,850","229,213","195,459","130,381","181,943","142,647","12,857","99,303","9,907","161,329","20,653",2019,"2,474,295","75,998","275,817","116,593","143,840","25,462","31,828","230,306","83,690","188,099","21,120","97,850","229,213","195,459","130,381","181,943","142,647","12,857","99,303","9,907","161,329","20,653"
"    Bottled, tank, or LP gas","71,419","2,547","6,835","2,702","2,277","2,700","2,591","5,212","1,816","7,442","5,013","1,727","5,099","2,813","4,478","1,511","3,859","1,436","1,529","5,939","2,091","1,802",2019,"71,419","2,547","6,835","2,702","2,277","2,700","2,591","5,212","1,816","7,442","5,013","1,727","5,099","2,813","4,478","1,511","3,859","1,436","1,529","5,939","2,091","1,802"
    Electricity,"448,114","13,628","44,264","33,896","29,508","9,150","6,951","40,808","8,368","58,283","5,222","21,959","36,245","31,977","19,920","30,391","12,249","2,964","13,008","6,337","18,493","4,493",2019,"448,114","13,628","44,264","33,896","29,508","9,150","6,951","40,808","8,368","58,283","5,222","21,959","36,245","31,977","19,920","30,391","12,249","2,964","13,008","6,337","18,493","4,493"
"    Fuel oil, kerosene, etc.","241,742","6,959","12,664","14,017","9,728","2,329","9,000","14,651","11,035","7,400","14,654","7,924","11,868","7,996","28,320","10,626","7,617","6,465","7,254","28,773","8,871","13,591",2019,"241,742","6,959","12,664","14,017","9,728","2,329","9,000","14,651","11,035","7,400","14,654","7,924","11,868","7,996","28,320","10,626","7,617","6,465","7,254","28,773","8,871","13,591"
    Coal or coke,"1,220",0,129,0,102,32,40,47,196,56,0,61,0,224,0,0,0,12,0,121,0,200,2019,"1,220",0,129,0,102,32,40,47,196,56,0,61,0,224,0,0,0,12,0,121,0,200
    Wood,"10,368",955,258,744,55,89,799,64,324,76,"1,365",189,157,493,426,692,484,277,250,"1,882",0,789,2019,"10,368",955,258,744,55,89,799,64,324,76,"1,365",189,157,493,426,692,484,277,250,"1,882",0,789
    Solar energy,"5,284",504,278,625,344,266,59,112,294,59,168,117,240,272,115,690,144,271,188,28,510,0,2019,"5,284",504,278,625,344,266,59,112,294,59,168,117,240,272,115,690,144,271,188,28,510,0
    Other fuel,"13,323",377,714,796,403,713,34,"1,379",787,"1,402",259,635,"1,337",365,846,347,585,122,361,664,628,569,2019,"13,323",377,714,796,403,713,34,"1,379",787,"1,402",259,635,"1,337",365,846,347,585,122,361,664,628,569
    No fuel used,"20,499","1,007","2,774",701,"1,523",198,58,"3,397",195,"3,847",100,389,"1,747",778,399,525,474,0,713,448,926,300,2019,"20,499","1,007","2,774",701,"1,523",198,58,"3,397",195,"3,847",100,389,"1,747",778,399,525,474,0,713,448,926,300
Total:,"3,249,567","96,981","339,953","166,698","188,840","39,208","50,034","289,921","101,414","263,924","47,733","132,980","285,480","236,327","181,738","228,622","169,521","23,952","118,729","53,749","192,021","41,742",2018,"3,249,567","96,981","339,953","166,698","188,840","39,208","50,034","289,921","101,414","263,924","47,733","132,980","285,480","236,327","181,738","228,622","169,521","23,952","118,729","53,749","192,021","41,742"
    Utility gas,"2,435,183","70,310","283,451","114,649","145,843","25,405","30,060","222,537","74,109","182,001","21,098","98,502","228,672","195,351","124,124","180,814","140,729","10,872","98,201","9,296","159,932","19,227",2018,"2,435,183","70,310","283,451","114,649","145,843","25,405","30,060","222,537","74,109","182,001","21,098","98,502","228,672","195,351","124,124","180,814","140,729","10,872","98,201","9,296","159,932","19,227"
"    Bottled, tank, or LP gas","67,930","2,359","5,204","4,458","3,514","3,734","1,718","4,386","1,599","7,109","4,290","1,669","3,087","2,569","4,327","1,927","2,306","1,145","1,180","6,248","2,382","2,719",2018,"67,930","2,359","5,204","4,458","3,514","3,734","1,718","4,386","1,599","7,109","4,290","1,669","3,087","2,569","4,327","1,927","2,306","1,145","1,180","6,248","2,382","2,719"
    Electricity,"437,888","14,553","35,912","30,707","26,189","6,590","6,303","42,171","12,943","58,138","4,558","23,381","38,636","27,575","19,313","32,672","15,058","2,868","11,383","8,106","15,895","4,937",2018,"437,888","14,553","35,912","30,707","26,189","6,590","6,303","42,171","12,943","58,138","4,558","23,381","38,636","27,575","19,313","32,672","15,058","2,868","11,383","8,106","15,895","4,937"
"    Fuel oil, kerosene, etc.","258,889","7,610","12,254","13,787","11,334","1,919","10,910","15,805","11,489","11,052","16,359","8,337","12,148","8,902","31,233","9,832","9,128","7,609","6,500","27,653","11,391","13,637",2018,"258,889","7,610","12,254","13,787","11,334","1,919","10,910","15,805","11,489","11,052","16,359","8,337","12,148","8,902","31,233","9,832","9,128","7,609","6,500","27,653","11,391","13,637"
    Coal or coke,992,0,219,0,0,0,0,0,0,0,0,0,0,68,110,106,121,66,0,167,41,94,2018,992,0,219,0,0,0,0,0,0,0,0,0,0,68,110,106,121,66,0,167,41,94
    Wood,"12,069","1,037",134,"1,214",320,324,675,0,276,0,"1,186",150,294,573,788,"1,392",495,819,44,"1,533",48,767,2018,"12,069","1,037",134,"1,214",320,324,675,0,276,0,"1,186",150,294,573,788,"1,392",495,819,44,"1,533",48,767
